256 0.120876 16937074 25315 0.075915 2182615 33543
272 0.107933 20854035 28489 0.088369 2609506 37774
288 0.128749 25475354 31856 0.103798 3095714 42263
304 0.151795 31511432 35414 0.122796 3636296 47006
320 0.189074 33913509 39163 0.141639 4229172 52007
336 0.201382 42615700 43105 0.16513 4893145 57262
352 0.235578 46543019 47240 0.189408 5614265 62775
368 0.265535 56071339 51566 0.215803 6410749 68543
384 0.37168 57639222 56084 0.244019 7267082 74568
400 0.341766 72096124 60794 0.277919 8213727 80848
416 0.399095 76865271 65697 0.30974 9224693 87384
432 0.432723 90915892 70791 0.348115 10326571 94176
448 0.562053 93064399 76076 0.387886 11497525 101224
464 0.538377 112752446 81554 0.431208 12773883 108528
480 0.636609 118123991 87224 0.473703 14123624 116088
496 0.658913 137834872 93086 0.528322 15580255 123904
512 0.929992 134848217 99140 0.579502 17109378 131976
