256 0.0998852 28575362 5015408 0.0620804 14323566 2097209
272 0.0891398 29788163 1669553 0.0747006 8728962 1460809
288 0.108094 34617993 2290409 0.0879324 11292696 1782575
304 0.125625 41328234 2247201 0.103418 12690921 1963499
320 0.163703 47812829 3995152 0.120882 17838577 2569004
336 0.169801 55368363 2940388 0.140001 17549743 2536608
352 0.203659 61826084 3067756 0.161389 20398097 2114233
368 0.223488 71664642 2749117 0.184493 25813752 2218372
384 0.330882 85769655 9074620 0.2086 40547735 3962637
400 0.289392 91034877 3527441 0.235111 32793980 2856177
416 0.342625 102180376 5.04693e+06 0.264343 43180376 3427380
432 0.364291 115744834 4427998 0.2954 45348332 3539585
448 0.486741 129985282 8994869 0.328551 57915990 4947517
464 0.453775 143034623 5482147 0.366022 54873105 4404357
480 0.535771 164220960 7713761 0.406097 63511791 5258071
496 0.563508 184030247 8509529 0.446152 67541927 7188778
512 0.824782 413693720 70192532 0.489235 322950939 22411524
