256 0.099135 72359642 16833535 0.0630562 65526205 5991959
272 0.089057 47611458 4653692 0.074767 31645469 3882556
288 0.108351 57696125 6743885 0.0883046 39384028 4895562
304 0.125361 66442039 6526244 0.103759 45397608 5435680
320 0.164768 85597227 12519757 0.121188 62216047 7464035
336 0.169739 90070992 8810965 0.139832 57264863 7389899
352 0.201894 105655386 12320768 0.160479 69270741 8983957
368 0.224139 116611627 11580174 0.183752 77359022 9675805
384 0.330264 206999347 32816524 0.208015 172623617 14648094
400 0.289324 152257199 14793787 0.235246 98374096 12352548
416 0.339929 176683375 20214398 0.264988 121443913 14614565
432 0.365119 191210002 18578549 0.296254 132332482 15396455
448 0.488979 231320553 34231787 0.329377 172127923 20190553
464 0.451905 233969033 22975732 0.366839 154741829 19124469
480 0.541384 272080953 30868930 0.404546 180960114 22346500
496 0.555776 290484070 27883101 0.446461 193535578 23161683
512 0.830619 576840300 134437332 0.493057 521584711 47502278
