256 0.0987968 53521720 9165118 0.0631996 43142039 3384816
272 0.0893458 34242569 2698274 0.0741774 16329527 2292442
288 0.108728 40992958 3827392 0.0897218 20913760 2824998
304 0.124937 49056498 3678261 0.103539 22907854 3111978
320 0.161929 61809083 6956950 0.120922 32672236 4213809
336 0.169839 68343150 4854055 0.139699 31744243 4089982
352 0.200845 79270327 6756273 0.160172 38645997 4942339
368 0.223975 89549595 6290003 0.184402 45172750 5266393
384 0.330211 115690245 18145664 0.208554 72569391 8499743
400 0.288394 114080969 7980981 0.234573 57865731 6652342
416 0.340386 131474027 10927799 0.264031 73410532 7842368
432 0.365915 144665807 9928684 0.294672 77399899 8216975
448 0.487323 171347684 18579326 0.329397 100762802 10866954
464 0.454711 178090290 12190497 0.36492 88575925 10116861
480 0.533323 207965586 16496726 0.404795 104104556 11853956
496 0.559162 224648206 14707461 0.447354 115282782 12164746
512 0.822577 541260468 134361921 0.491349 480504725 40817400
