256 0.0982366 81160385 16864210 0.062226 75590819 7561895
272 0.0900426 68484256 8352146 0.0744216 54853046 7100137
288 0.109286 83296543 11824486 0.0882828 69696803 8791176
304 0.125612 95103673 11670102 0.103969 78836844 9843989
320 0.161676 143564254 21225516 0.121572 126530586 12414214
336 0.16988 127459208 15755645 0.139436 104287484 13339659
352 0.200109 152815703 21518587 0.161297 125198010 16037610
368 0.222544 168433308 20605589 0.183204 137645448 17413103
384 0.329344 273123875 56814836 0.207407 254146701 25361051
400 0.289372 216114071 26445365 0.235416 173928356 22405423
416 0.34219 249528829 35508595 0.263653 208532667 26327867
432 0.3639 271435828 33333055 0.295289 223711517 28091373
448 0.490376 392057758 58126629 0.330364 345672723 33844286
464 0.453111 334640793 41318602 0.365193 273267857 34919177
480 0.541197 384994130 54450375 0.40598 316836746 40462642
496 0.558477 410564632 50334550 0.446805 335088278 42485542
512 0.850518 646480118 134555968 0.491245 601285334 59929601
